"","endpoint","field","data_type","can_query","group","common_name","description"
"1","assignees","app_country","string","y","applications","Country","Country in which patent application was filed, always U.S."
"2","assignees","app_date","date","y","applications","Filing Date","Date the patent application was filed (filing date)"
"3","assignees","app_number","string","y","applications","Number","Application ID assigned by USPTO"
"4","assignees","app_type","string","y","applications","Type","Patent Application Type (From XML data dictionary). 02 through 28 = Utility application; 29, D = Design application; 60 = Provisional application; 90 = Reexamination request"
"5","assignees","assignee_first_name","string","y","assignees","First Name","First name, if assignee is individual"
"6","assignees","assignee_first_seen_date","date","y","assignees","First Seen Date","Earliest patent grant date for all of an asisgnee's patents in the database"
"7","assignees","assignee_id","string","y","assignees","ID","Unique database assignee ID assigned by disambiguation algorithm"
"8","assignees","assignee_key_id","string","n","assignees","Assignee key id","Special identifier used as the default sort field for the assignee query. This field may be deprecated in a future version."
"9","assignees","assignee_lastknown_city","string","y","assignees","Last Known City","Assignee's country as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
"10","assignees","assignee_lastknown_country","string","y","assignees","Last Known Country","Assignee's city as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
"11","assignees","assignee_lastknown_latitude","float","n","assignees","Last Known Latitude","Latitude for assignee's location as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
"12","assignees","assignee_lastknown_location_id","string","y","assignees","Last Known Location ID","Unique database ID for the assignee's location on their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
"13","assignees","assignee_lastknown_longitude","float","n","assignees","Last Known Longitude","Longitude for assignee's location as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
"14","assignees","assignee_lastknown_state","string","y","assignees","Last Known State","Assignee's state as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
"15","assignees","assignee_last_name","string","y","assignees","Last Name","Last name, if assignee is individual"
"16","assignees","assignee_last_seen_date","date","y","assignees","Last Seen Date","Most recent patent grant date for all of the asisgnee's patents in the database"
"17","assignees","assignee_organization","string","y","assignees","Organization","Organization name, if assignee is organization"
"18","assignees","assignee_total_num_inventors","integer","y","assignees","Total Number of Inventors","Total number of inventors in database for a given assignee (as indicated by unique assignee_id)"
"19","assignees","assignee_total_num_patents","integer","y","assignees","Total Number of Patents","Total number of patents in database for a given assignee (as indicated by unique assignee_id)"
"20","assignees","assignee_type","string","y","assignees","Type","Classification of assignee. 2 - US Company or Corporation, 3 - Foreign Company or Corporation, 4 - US Individual, 5 - Foreign Individual, 6 - US Government, 7 - Foreign Government, 8 - Country Government, 9 - State Government (US). Note: A ""1"" appearing before any of these codes signifies part interest"
