"","abstract","title","type"
"1","The present invention relates to beta-peptoids with antimicrobial activity. The present invention also relates to methods of producing &#x3b2;-peptoids. The antimicrobial &#x3b2;-peptoids of the invention are useful in pharmaceutical, healthcare, medical device, industrial, food, agricultural, and personal care applications.","&#x3b2;-peptoids with antimicrobial activity","utility"
"2","Friction control articles for use in healthcare applications, the articles generally comprising a backing Layer having a first surface and a second surface, where projecting from the first surface of the backing layer is an array of stems, wherein at least a portion of the exterior surface of the stems comprises an elastomeric material. Also disclosed are friction control articles having a coefficient of friction when dry along at least a portion of the first surface of at least 0.6. Multilayered and dual-sided friction control articles are also provided.","Friction control articles for healthcare applications","utility"
"3","A system and user interface integrates and processes event associated messages affecting healthcare delivered to a patient and supports creation, initiation and modification of currently operating workflow processes involving processing of event messages. A method for processing an event representing a change in circumstances potentially affecting healthcare delivered to a patient involves receiving a message identifying an event potentially affecting healthcare delivered to a patient. Predetermined rules are applied to interpret the identified event to determine particular tasks to be performed in response to occurrence of the identified event. The particular tasks are scheduled to be performed by at least one individual in response to the occurrence of the identified event. In addition a database containing records indicating active process instances is searched to identify active process instances of a target process to be replaced by a process comprising the particular tasks. Also a parameter associated with an event is stored at a location available for access by multiple different process task sequences.","System for processing healthcare related event information for use in scheduling performance of tasks","utility"
"4","A handheld diagnostic device having a test head and a handle is equipped with an open test channel having sensors and liquid reagent dispensing opening for the diagnostic testing of body fluids. The test channel can draw in fluid sample by capillary force and be closed by a channel cover for mixing the fluid sample with liquid reagent for electrochemical reactions for providing measurement signals for diagnostic analysis by a microprocessor included in the handle. A vibration means is added for stimulating the production of the body fluid sample and for assisting mixing of the sample solution. A renewable biosensor having a reusable electrode system and a dispensing means for providing a new dose of liquid reagent is included in the test head for repeated uses of the test channel and the biosensor. A dual-dispensers system having two reagent cartridges and two dispensing lines is included for simultaneous or selective dispensing of reagents for multiple diagnostic testing. The handheld device can be used for the self-diagnostic testing of saliva, body fluid, blood and vagina fluid for home healthcare and for monitoring predetermined components in a pourable fluid. For vagina fluid applications, a handheld diagnostic device may include cream or foam dispenser for dispensing vagina medication material, lubricant, or spermicide.","Handheld diagnostic device with renewable biosensor","utility"
"5","A rules-base patient care system for use in healthcare locations. A patient rules generator creates rules for the patients. Performance measures indicative of the ability of a rule to predict changes in the condition of the patient are acquired by the rules generator. A determination is made from the rules performance measures whether to revise the rule. A rules engine applies a rule to selected data elements stored in the database to produce an output indicative of a change in the medical condition of the patient. The output from the rules engine is used to determine if intervention is warranted.","Rules-based patient care system for use in healthcare locations","utility"
"6","A system (<b>100</b>) for providing multiple facility healthcare corporations the ability to assign and maintain shared medical record numbers (<b>43</b>) across multiple entities. The system establishes a parent/child relationship among the entities to share medical record number ranges, formats, and data. A patient record identifier database (<b>102</b>) contains patient records in a searchable unit record file (<b>50</b>) and an identification number file (<b>3</b>). A search processor (<b>105</b>) locates relevant records and a rules processor (<b>104</b>) applies various tests to the returned data in order to assign a medical record number (<b>43, 13</b>) to a single unique unit reference number (<b>2, 5, 11</b>) to a person without duplication or conflict with identifiers used at other entities (<b>4, 9, 190</b>). The reference numbers and their associated medical records are shared among the various entities. The sharing relationships may be altered by authorized users accessing on line file maintenance (<b>312</b>) and programs (<b>311</b>).","Healthcare organization record identifier assignment management system","utility"
"7","A system that monitors various conditions of a plurality of hospital beds located in different rooms of a healthcare facility is provided. Alternatively or additionally, other types of equipment may be monitored by the system. Various configurations of network interface units that are coupleable to or integrated into a hospital bed are also disclosed. The system receives data from the hospital beds and/or other equipment and initiates a communication to a wireless communication device of at least one designated caregiver in response to the received data being indicative of an alarm condition.","Configurable system for alerting caregivers","utility"
"8","Certain embodiments of the present invention provide a method and system for using gaze detection to improve information display in a healthcare environment. Certain embodiments of a system include an eyewear headset for detecting a location of a user's gaze and a display for displaying information. Information on the display, such as images and/or data, is customized for the user based on the user's gaze. In an embodiment, the eyewear headset viewer projects information into the user's oculars for an individual information display. The system may also include a conflict resolution module for determining priority and control of the display among a plurality of users. In an embodiment, a function at the display may be triggered using a voice command, a gesture, and/or a gaze, for example.","Method and apparatus for surgical operating room information display gaze detection and user prioritization for control","utility"
"9","The disclosed invention pertains to methods for diagnosing clinical conditions that are common in hemodialysis patients and that may be related to abnormal carnitine metabolism resulting from hemodialysis. Further, the present invention pertains to methods for monitoring and improving the administration of therapeutic intravenous levocarnitine to such patients. Clinical algorithms have been developed for the clinical symptoms seen in end-stage renal disease (ESRD) patients that may be related to carnitine deficiency. Monitoring tools to assist healthcare professionals in implementing the clinical algorithms are also provided.","Methods for the diagnosis of hemodialysis patients and utilization of such methods to improve the administration of intravenous levocarnitine treatments to hemodialysis patients","utility"
"10","A method of order placement and product delivery between a healthcare facility and a third party payor, such as an insurance provider, in which a transaction facilitator submits the order for a prescribed medical device and generates a claim from the transaction facilitator to the insurance company. The healthcare facility initially contacts the insurance provider to obtain authorization for a prescribed medical device and medical procedure. Upon granting authorization, the insurance provider contacts the transaction facilitator to select the medical device. The transaction facilitator orders the medical device and arranges for delivery from manufacturer to the healthcare facility. Upon implantation, the transaction facilitator bills the insurance provider. At no time does the healthcare facility receive a bill from the manufacturer, thereby eliminating the bill for the medical device from the healthcare facility to the insurance provider.","Method of product procurement and cash flow including a manufacturer, a transaction facilitator, and third party payor","utility"
